ensembl_gene_id	gene_name	gene_biotype	total_width	cluster
ENSMUSG00000000730	Dnmt3l	protein_coding	9618	NA
ENSMUSG00000000731	Aire	protein_coding	27277	NA
ENSMUSG00000000732	Icosl	protein_coding	2756	6
ENSMUSG00000000738	Spg7	protein_coding	18913	2
ENSMUSG00000000739	Sult5a1	protein_coding	4759	4
ENSMUSG00000000740	Rpl13	protein_coding	4455	1
ENSMUSG00000000743	Chmp1a	protein_coding	4242	3
ENSMUSG00000000751	Rpa1	protein_coding	11060	5
ENSMUSG00000000753	Serpinf1	protein_coding	6624	5
ENSMUSG00000000759	Tubgcp3	protein_coding	20740	2
ENSMUSG00000000766	Oprm1	protein_coding	45647	7
ENSMUSG00000000776	Polr3d	protein_coding	4066	3
ENSMUSG00000000782	Tcf7	protein_coding	4213	5
ENSMUSG00000000787	Ddx3x	protein_coding	7876	4
ENSMUSG00000000791	Il12rb1	protein_coding	2873	NA
ENSMUSG00000000792	Slc5a5	protein_coding	2928	7
ENSMUSG00000000794	Kcnn3	protein_coding	3648	NA
ENSMUSG00000000804	Usp32	protein_coding	14093	3
ENSMUSG00000000805	Car4	protein_coding	4074	6
ENSMUSG00000000811	Txnrd3	protein_coding	5330	5
ENSMUSG00000000817	Fasl	protein_coding	1935	NA
ENSMUSG00000000823	Znf512b	protein_coding	16230	1
ENSMUSG00000000826	Dnajc5	protein_coding	16300	3
ENSMUSG00000000827	Tpd52l2	protein_coding	17570	4
ENSMUSG00000000838	Fmr1	protein_coding	35360	2
ENSMUSG00000000861	Bcl11a	protein_coding	19335	1
ENSMUSG00000000869	Il4	protein_coding	2266	NA
ENSMUSG00000000876	Pxmp4	protein_coding	3349	5
ENSMUSG00000000881	Dlg3	protein_coding	27691	1
ENSMUSG00000000884	Gnb1l	protein_coding	18502	1
ENSMUSG00000000889	Dbh	protein_coding	2757	NA
ENSMUSG00000000901	Mmp11	protein_coding	5789	1
ENSMUSG00000000902	Smarcb1	protein_coding	15717	3
ENSMUSG00000000903	Vpreb3	protein_coding	1354	NA
ENSMUSG00000000915	Hip1r	protein_coding	7879	6
ENSMUSG00000000916	Nsun5	protein_coding	7264	2
ENSMUSG00000000934	Top1mt	protein_coding	1903	7
ENSMUSG00000000938	Hoxa10	protein_coding	6756	NA
ENSMUSG00000000942	Hoxa4	protein_coding	1594	NA
ENSMUSG00000000948	Snrpn	protein_coding	4008	NA
ENSMUSG00000000957	Mmp14	protein_coding	2597	4
ENSMUSG00000000958	Slc7a7	protein_coding	2142	5
ENSMUSG00000000959	Oxa1l	protein_coding	2534	NA
ENSMUSG00000000976	Heatr6	protein_coding	11269	2
ENSMUSG00000000982	Ccl3	protein_coding	766	1
ENSMUSG00000000983	Wfdc18	protein_coding	1972	NA
ENSMUSG00000001014	Icam4	protein_coding	907	NA
ENSMUSG00000001016	Ilf2	protein_coding	1973	1
ENSMUSG00000001017	Chtop	protein_coding	18459	1
ENSMUSG00000001018	Snapin	protein_coding	7809	3
ENSMUSG00000001020	S100a4	protein_coding	1332	NA
ENSMUSG00000001021	S100a3	protein_coding	712	NA
ENSMUSG00000001023	S100a5	protein_coding	853	NA
ENSMUSG00000001025	S100a6	protein_coding	719	1
ENSMUSG00000001027	Scn4a	protein_coding	7041	7
ENSMUSG00000001029	Icam2	protein_coding	3525	5
ENSMUSG00000001034	Mapk7	protein_coding	26333	1
ENSMUSG00000001036	Epn2	protein_coding	29824	6
ENSMUSG00000001039	B9d1	protein_coding	3861	2
ENSMUSG00000001052	Sec24b	protein_coding	12305	3
ENSMUSG00000001053	N4bp3	protein_coding	3926	5
ENSMUSG00000001054	Rmnd5b	protein_coding	4539	4
ENSMUSG00000001056	Nhp2	protein_coding	1867	4
ENSMUSG00000001062	Vps9d1	protein_coding	23142	1
ENSMUSG00000001065	Zfp276	protein_coding	13574	1
ENSMUSG00000001076	C1ql4	protein_coding	874	NA
ENSMUSG00000001082	Mfsd10	protein_coding	16412	3
ENSMUSG00000001089	Luzp1	protein_coding	27167	5
ENSMUSG00000001095	Slc13a2	protein_coding	2412	NA
ENSMUSG00000001098	Kctd10	protein_coding	9359	5
ENSMUSG00000001100	Poldip2	protein_coding	6258	3
ENSMUSG00000001103	Sebox	protein_coding	2649	7
ENSMUSG00000001105	Ift20	protein_coding	4534	2
ENSMUSG00000001119	Col6a1	protein_coding	5025	2
ENSMUSG00000001120	Pcbp3	protein_coding	11739	2
ENSMUSG00000001123	Lgals9	protein_coding	4922	5
ENSMUSG00000001127	Araf	protein_coding	16186	2
ENSMUSG00000001128	Cfp	protein_coding	2037	2
ENSMUSG00000001131	Timp1	protein_coding	1716	4
ENSMUSG00000001134	Uxt	protein_coding	3686	1
ENSMUSG00000001138	Cnnm3	protein_coding	11907	1
ENSMUSG00000001143	Lman2l	protein_coding	13227	2
ENSMUSG00000001150	Mcm3ap	protein_coding	6382	3
ENSMUSG00000001151	Pcnt	protein_coding	9530	1
ENSMUSG00000001155	Ftcd	protein_coding	5311	NA
ENSMUSG00000001156	Mxd1	protein_coding	4662	1
ENSMUSG00000001157	Gmcl1	protein_coding	4683	2
ENSMUSG00000001158	Snrnp27	protein_coding	3014	4
ENSMUSG00000001166	Oas1c	protein_coding	3489	6
ENSMUSG00000001168	Oas1h	protein_coding	3018	NA
ENSMUSG00000001173	Ocrl	protein_coding	18668	2
ENSMUSG00000001175	Calm1	protein_coding	9225	5
ENSMUSG00000001211	Agpat3	protein_coding	24672	7
ENSMUSG00000001225	Slc26a3	protein_coding	12915	NA
ENSMUSG00000001227	Sema6b	protein_coding	7583	6
ENSMUSG00000001228	Uhrf1	protein_coding	15781	4
ENSMUSG00000001229	Dpp9	protein_coding	3509	3
ENSMUSG00000001240	Ramp2	protein_coding	6961	5
ENSMUSG00000001247	Lsr	protein_coding	7173	5
ENSMUSG00000001248	Gramd1a	protein_coding	5224	1
ENSMUSG00000001249	Hpn	protein_coding	11109	NA
ENSMUSG00000001260	Gabrg1	protein_coding	4771	NA
ENSMUSG00000001270	Ckb	protein_coding	1478	1
ENSMUSG00000001280	Sp1	protein_coding	17039	5
ENSMUSG00000001281	Itgb7	protein_coding	3080	NA
ENSMUSG00000001285	Myg1	protein_coding	8683	2
ENSMUSG00000001288	Rarg	protein_coding	7450	6
ENSMUSG00000001289	Pfdn5	protein_coding	4791	4
ENSMUSG00000001300	Efnb2	protein_coding	4976	5
ENSMUSG00000001305	Rrp15	protein_coding	4413	3
ENSMUSG00000001313	Rnd2	protein_coding	3803	1
ENSMUSG00000001323	Srr	protein_coding	20608	2
ENSMUSG00000001333	Sync	protein_coding	4372	1
ENSMUSG00000001334	Fndc5	protein_coding	2763	7
ENSMUSG00000001348	Acp5	protein_coding	4158	5
ENSMUSG00000001349	Cnn1	protein_coding	2368	NA
ENSMUSG00000001366	Fbxo9	protein_coding	7209	2
ENSMUSG00000001376	Ccdc132	protein_coding	27030	3
ENSMUSG00000001379	Apbb3	protein_coding	2061	NA
ENSMUSG00000001380	Hars	protein_coding	1987	4
ENSMUSG00000001383	Zmat2	protein_coding	2257	3
ENSMUSG00000001403	Ube2c	protein_coding	3158	4
ENSMUSG00000001415	Smg5	protein_coding	4447	1
ENSMUSG00000001416	Cct3	protein_coding	14912	3
ENSMUSG00000001417	Rhbg	protein_coding	4437	NA
ENSMUSG00000001418	0610031J06Rik	protein_coding	11799	NA
ENSMUSG00000001419	Mef2d	protein_coding	13858	2
ENSMUSG00000001420	Tmem79	protein_coding	6522	5
ENSMUSG00000001424	Snd1	protein_coding	16385	4
ENSMUSG00000001435	Col18a1	protein_coding	18865	4
ENSMUSG00000001436	Slc19a1	protein_coding	11267	2
ENSMUSG00000001440	Kpnb1	protein_coding	7316	5
ENSMUSG00000001441	Npepps	protein_coding	24530	2
ENSMUSG00000001444	Tbx21	protein_coding	2488	1
ENSMUSG00000001445	Mrpl10	protein_coding	2452	3
ENSMUSG00000001467	Cyp51	protein_coding	5392	3
ENSMUSG00000001472	Tcf25	protein_coding	5675	3
ENSMUSG00000001473	Tubb6	protein_coding	1757	4
ENSMUSG00000001482	Def8	protein_coding	16207	2
ENSMUSG00000001493	Meox1	protein_coding	2228	4
ENSMUSG00000001494	Sost	protein_coding	2066	NA
ENSMUSG00000001496	Nkx2-1	protein_coding	5051	7
ENSMUSG00000001497	Pax9	protein_coding	10707	NA
ENSMUSG00000001504	Irx2	protein_coding	5075	2
ENSMUSG00000001506	Col1a1	protein_coding	7123	1
ENSMUSG00000001507	Itga3	protein_coding	16291	1
ENSMUSG00000001508	Sgca	protein_coding	5578	NA
ENSMUSG00000001510	Dlx3	protein_coding	2637	1
ENSMUSG00000001517	Foxm1	protein_coding	9836	4
ENSMUSG00000001518	Itfg2	protein_coding	7806	2
ENSMUSG00000001520	Nrip2	protein_coding	8064	7
ENSMUSG00000001521	Tulp3	protein_coding	8012	1
ENSMUSG00000001524	Gtf2h4	protein_coding	10469	3
ENSMUSG00000001525	Tubb5	protein_coding	5096	4
ENSMUSG00000001542	Ell2	protein_coding	3647	5
ENSMUSG00000001552	Jup	protein_coding	12298	5
ENSMUSG00000001555	Fkbp10	protein_coding	6486	5
ENSMUSG00000001558	Klhl10	protein_coding	2949	NA
ENSMUSG00000001566	Mnx1	protein_coding	4308	NA
ENSMUSG00000001569	Nom1	protein_coding	5413	3
ENSMUSG00000001576	Ergic1	protein_coding	9621	1
ENSMUSG00000001583	Tnk1	protein_coding	8607	NA
ENSMUSG00000001588	Acap1	protein_coding	8419	5
ENSMUSG00000001604	Tcea3	protein_coding	2773	7
ENSMUSG00000001622	Csn3	protein_coding	7400	1
ENSMUSG00000001627	Ifrd1	protein_coding	10789	2
ENSMUSG00000001630	Stk38l	protein_coding	6824	NA
ENSMUSG00000001632	Brpf1	protein_coding	22607	1
ENSMUSG00000001642	Akr1b3	protein_coding	6642	4
ENSMUSG00000001655	Hoxc13	protein_coding	2461	NA
ENSMUSG00000001656	Hoxc11	protein_coding	2021	NA
ENSMUSG00000001657	Hoxc8	protein_coding	2299	NA
ENSMUSG00000001661	Hoxc6	protein_coding	3109	NA
ENSMUSG00000001663	Gstt1	protein_coding	2610	7
ENSMUSG00000001665	Gstt3	protein_coding	4584	6
ENSMUSG00000001666	Ddt	protein_coding	1223	3
ENSMUSG00000001670	Tat	protein_coding	3133	NA
ENSMUSG00000001672	Marveld3	protein_coding	4331	7
ENSMUSG00000001674	Ddx18	protein_coding	3843	4
ENSMUSG00000001687	Ubl3	protein_coding	4668	6
ENSMUSG00000001700	Gramd3	protein_coding	2605	4
ENSMUSG00000001707	Eef1e1	protein_coding	1032	4
ENSMUSG00000001729	Akt1	protein_coding	8686	5
ENSMUSG00000001739	Cldn15	protein_coding	4373	2
ENSMUSG00000001741	Il16	protein_coding	14314	4
ENSMUSG00000001750	Tcirg1	protein_coding	19457	3
ENSMUSG00000001751	Naglu	protein_coding	4296	3
ENSMUSG00000001755	Coasy	protein_coding	6224	3
ENSMUSG00000001761	Smo	protein_coding	3779	3
ENSMUSG00000001763	Tspan33	protein_coding	7529	3
ENSMUSG00000001767	Crnkl1	protein_coding	4539	3
ENSMUSG00000001768	Rin2	protein_coding	16067	5
ENSMUSG00000001773	Folh1	protein_coding	5187	7
ENSMUSG00000001774	Chordc1	protein_coding	2205	4
ENSMUSG00000001783	Rtcb	protein_coding	3001	5
ENSMUSG00000001785	Pwp1	protein_coding	5433	3
ENSMUSG00000001786	Fbxo7	protein_coding	16233	7
ENSMUSG00000001794	Capns1	protein_coding	6377	5
ENSMUSG00000001802	Lrp3	protein_coding	9267	1
ENSMUSG00000001804	Dsg4	protein_coding	3478	NA
ENSMUSG00000001815	Evx2	protein_coding	5917	NA
ENSMUSG00000001819	Hoxd13	protein_coding	2483	NA
ENSMUSG00000001823	Hoxd12	protein_coding	2619	NA
ENSMUSG00000001827	Folr1	protein_coding	13699	NA
ENSMUSG00000001829	Clpb	protein_coding	15709	3
ENSMUSG00000001833	Sept7	protein_coding	5066	NA
ENSMUSG00000001844	Zdhhc4	protein_coding	11859	1
ENSMUSG00000001847	Rac1	protein_coding	5569	5
ENSMUSG00000001855	Nup214	protein_coding	15791	3
ENSMUSG00000001864	Aif1l	protein_coding	7528	3
ENSMUSG00000001865	Cpa3	protein_coding	1452	NA
ENSMUSG00000001870	Ltbp1	protein_coding	25496	NA
ENSMUSG00000001891	Ugp2	protein_coding	5779	4
ENSMUSG00000001901	Kcnh6	protein_coding	9776	7
ENSMUSG00000001909	Trmt1	protein_coding	30421	1
ENSMUSG00000001910	Nacc1	protein_coding	4300	5
ENSMUSG00000001911	Nfix	protein_coding	13312	1
ENSMUSG00000001918	Slc1a5	protein_coding	8716	1
ENSMUSG00000001924	Uba1	protein_coding	11064	5
ENSMUSG00000001930	Vwf	protein_coding	38112	6
ENSMUSG00000001942	Siae	protein_coding	3433	5
ENSMUSG00000001943	Vsig2	protein_coding	1170	7
ENSMUSG00000001946	Esam	protein_coding	4311	5
ENSMUSG00000001948	Spa17	protein_coding	689	1
ENSMUSG00000001962	Fam50a	protein_coding	3669	2
ENSMUSG00000001964	Emd	protein_coding	6084	4
ENSMUSG00000001983	Taco1	protein_coding	1383	3
ENSMUSG00000001985	Grik3	protein_coding	8973	1
ENSMUSG00000001986	Gria3	protein_coding	30953	7
ENSMUSG00000001988	Npas1	protein_coding	2091	NA
ENSMUSG00000001995	Sipa1l2	protein_coding	6365	5
ENSMUSG00000001998	Ap4e1	protein_coding	17021	2
ENSMUSG00000001999	Blvra	protein_coding	4725	4
ENSMUSG00000002006	Pdzd4	protein_coding	7595	1
ENSMUSG00000002007	Srpk3	protein_coding	5708	7
ENSMUSG00000002010	Idh3g	protein_coding	8205	3
ENSMUSG00000002012	Pnck	protein_coding	6271	1
ENSMUSG00000002014	Ssr4	protein_coding	8523	3
ENSMUSG00000002015	Bcap31	protein_coding	1219	5
ENSMUSG00000002017	Fam98a	protein_coding	4101	2
ENSMUSG00000002020	Ltbp2	protein_coding	25939	NA
ENSMUSG00000002028	Kmt2a	protein_coding	43472	7
ENSMUSG00000002031	Ift46	protein_coding	10741	1
ENSMUSG00000002032	Tmem25	protein_coding	8091	2
ENSMUSG00000002033	Cd3g	protein_coding	1729	NA
ENSMUSG00000002043	Trappc6a	protein_coding	4349	4
ENSMUSG00000002052	Supt6	protein_coding	10344	3
ENSMUSG00000002055	Spag5	protein_coding	11480	7
ENSMUSG00000002057	Foxn1	protein_coding	3214	NA
ENSMUSG00000002058	Unc119	protein_coding	7342	7
ENSMUSG00000002059	Rab34	protein_coding	8008	1
ENSMUSG00000002064	Sdf2	protein_coding	2818	5
ENSMUSG00000002068	Ccne1	protein_coding	4327	4
ENSMUSG00000002076	Hsf2bp	protein_coding	4075	NA
ENSMUSG00000002083	Bbc3	protein_coding	3180	3
ENSMUSG00000002100	Mybpc3	protein_coding	12451	NA
ENSMUSG00000002102	Psmc3	protein_coding	8457	5
ENSMUSG00000002103	Acp2	protein_coding	9489	3
ENSMUSG00000002104	Rapsn	protein_coding	5200	3
ENSMUSG00000002105	Slc39a13	protein_coding	10977	2
ENSMUSG00000002107	Celf2	protein_coding	85062	2
ENSMUSG00000002108	Nr1h3	protein_coding	11708	NA
ENSMUSG00000002109	Ddb2	protein_coding	9372	2
ENSMUSG00000002111	Spi1	protein_coding	3593	3
ENSMUSG00000002129	Sf3a1	protein_coding	7826	3
ENSMUSG00000002147	Stat6	protein_coding	6191	5
ENSMUSG00000002190	Clgn	protein_coding	6195	2
ENSMUSG00000002204	Napsa	protein_coding	2995	NA
ENSMUSG00000002205	Vrk3	protein_coding	8116	4
ENSMUSG00000002210	Smg9	protein_coding	7585	1
ENSMUSG00000002221	Paxip1	protein_coding	5052	2
ENSMUSG00000002222	Rmnd5a	protein_coding	14685	3
ENSMUSG00000002227	Mov10	protein_coding	19362	5
ENSMUSG00000002228	Ppm1j	protein_coding	1721	3
ENSMUSG00000002233	Rhoc	protein_coding	3007	5
ENSMUSG00000002240	4930432K09Rik	protein_coding	2637	NA
ENSMUSG00000002249	Tead3	protein_coding	17924	1
ENSMUSG00000002250	Ppard	protein_coding	9067	5
ENSMUSG00000002257	Def6	protein_coding	2626	5
ENSMUSG00000002265	Peg3	protein_coding	17483	2
ENSMUSG00000002266	Zim1	protein_coding	6314	2
ENSMUSG00000002274	Metrn	protein_coding	2350	1
ENSMUSG00000002279	Lmf1	protein_coding	21181	3
ENSMUSG00000002280	Narfl	protein_coding	9161	3
ENSMUSG00000002289	Angptl4	protein_coding	6026	5
ENSMUSG00000002297	Dbf4	protein_coding	13099	4
ENSMUSG00000002307	Daxx	protein_coding	13472	3
ENSMUSG00000002308	Cd320	protein_coding	3892	5
ENSMUSG00000002319	Ipo4	protein_coding	20244	3
ENSMUSG00000002320	Tm9sf1	protein_coding	21080	5
ENSMUSG00000002324	Rec8	protein_coding	3760	6
ENSMUSG00000002325	Irf9	protein_coding	13056	6
ENSMUSG00000002326	Gmpr2	protein_coding	1543	4
ENSMUSG00000002329	Mdp1	protein_coding	1733	3
ENSMUSG00000002332	Dhrs1	protein_coding	4964	5
ENSMUSG00000002341	Ncan	protein_coding	7195	1
ENSMUSG00000002342	Tmem161a	protein_coding	16242	3
ENSMUSG00000002343	Armc6	protein_coding	6682	1
ENSMUSG00000002345	2310045N01Rik	protein_coding	7785	NA
ENSMUSG00000002346	Slc25a42	protein_coding	13684	7
ENSMUSG00000002365	Snx9	protein_coding	2411	5
ENSMUSG00000002372	Ranbp3	protein_coding	2511	3
ENSMUSG00000002379	Ndufa11	protein_coding	2661	3
ENSMUSG00000002384	Bmp8b	protein_coding	4266	NA
ENSMUSG00000002393	Nr2f6	protein_coding	6931	4
ENSMUSG00000002395	Use1	protein_coding	9668	3
ENSMUSG00000002396	Ocel1	protein_coding	9443	2
ENSMUSG00000002409	Dyrk1b	protein_coding	9197	1
ENSMUSG00000002413	Braf	protein_coding	17368	2
ENSMUSG00000002416	Ndufb2	protein_coding	7502	4
ENSMUSG00000002428	Hltf	protein_coding	18277	6
ENSMUSG00000002455	Prpf6	protein_coding	8907	3
ENSMUSG00000002458	Rgs19	protein_coding	11433	5
ENSMUSG00000002459	Rgs20	protein_coding	8271	7
ENSMUSG00000002475	Abhd3	protein_coding	6905	2
ENSMUSG00000002477	Snrpd1	protein_coding	837	4
ENSMUSG00000002486	Tchp	protein_coding	9851	2
ENSMUSG00000002489	Tiam1	protein_coding	40211	5
ENSMUSG00000002496	Tsc2	protein_coding	6018	3
ENSMUSG00000002500	Rpl3l	protein_coding	3007	1
ENSMUSG00000002504	Slc9a3r2	protein_coding	3806	6
ENSMUSG00000002524	Puf60	protein_coding	3773	2
ENSMUSG00000002546	Golga2	protein_coding	22765	3
ENSMUSG00000002550	Uck1	protein_coding	5211	3
ENSMUSG00000002565	Scin	protein_coding	5649	NA
ENSMUSG00000002578	Ikzf4	protein_coding	15061	2
ENSMUSG00000002580	Mien1	protein_coding	747	3
ENSMUSG00000002588	Pon1	protein_coding	4421	NA
ENSMUSG00000002602	Axl	protein_coding	13552	3
ENSMUSG00000002603	Tgfb1	protein_coding	3370	5
ENSMUSG00000002608	Ccdc97	protein_coding	8427	2
ENSMUSG00000002617	Zfp40	protein_coding	11498	3
ENSMUSG00000002625	Akap8l	protein_coding	2075	2
ENSMUSG00000002633	Shh	protein_coding	2692	7
ENSMUSG00000002635	Pdcd2l	protein_coding	2579	3
ENSMUSG00000002658	Gtf2f1	protein_coding	1717	3
ENSMUSG00000002660	Clpp	protein_coding	1207	3
ENSMUSG00000002661	Alkbh7	protein_coding	2177	2
ENSMUSG00000002664	Pspn	protein_coding	474	NA
ENSMUSG00000002668	Dennd1c	protein_coding	2520	6
ENSMUSG00000002679	Med6	protein_coding	4678	4
ENSMUSG00000002688	Prkd1	protein_coding	3778	NA
ENSMUSG00000002699	Lcp2	protein_coding	10127	5
ENSMUSG00000002718	Cse1l	protein_coding	18026	3
ENSMUSG00000002728	Naa20	protein_coding	6982	4
ENSMUSG00000002731	Prkra	protein_coding	2320	4
ENSMUSG00000002732	Fkbp7	protein_coding	2728	5
ENSMUSG00000002733	Plekha3	protein_coding	3286	4
ENSMUSG00000002741	Ykt6	protein_coding	3332	4
ENSMUSG00000002748	Baz1b	protein_coding	13849	3
ENSMUSG00000002763	Pex6	protein_coding	8587	3
ENSMUSG00000002767	Mrpl2	protein_coding	3666	3
ENSMUSG00000002768	Mea1	protein_coding	840	4
ENSMUSG00000002769	Gnmt	protein_coding	1890	7
ENSMUSG00000002771	Grin2d	protein_coding	6079	2
ENSMUSG00000002778	Kdelr1	protein_coding	5112	5
ENSMUSG00000002781	Tmem143	protein_coding	12957	6
